product_category,discount_band,net_sales,profit,orders_count,profit_margin_pct
Grocery,11-20%,2904841.59,1347716.98,3299,46.3955413141823
Grocery,21-30%,1107008.42,433005.16,1147,39.114893091779734
Grocery,31-40%,750356.28,230206.53,682,30.67962994858922
Grocery,41%+,385013.73,55711.2,448,14.469925527071464
Health & Wellness,0% (No Discount),1695234.23,904980.55,1409,53.38380584728991
Health & Wellness,1-10%,2831206.59,1420060.17,2574,50.15741963217174
Health & Wellness,11-20%,3698926.66,1696357.5,3614,45.86080384735176
Health & Wellness,21-30%,1519653.9,590552.64,1296,38.860995914925105
Health & Wellness,31-40%,1006418.85,307989.09,787,30.602476295033625
Health & Wellness,41%+,550049.46,80245.89,530,14.58884988269964
Home & Kitchen,0% (No Discount),1472380.82,796818.12,1107,54.117665020928484
Home & Kitchen,1-10%,2516455.74,1279221.83,2041,50.83426700761285
Home & Kitchen,11-20%,3367969.33,1555083.09,2843,46.17272123437062
Home & Kitchen,21-30%,1377603.0,532821.04,1032,38.677401254207496
Home & Kitchen,31-40%,945137.34,284974.18,644,30.1516158487612
Home & Kitchen,41%+,490348.42,78039.67,427,15.915146621661389
Home Appliances,0% (No Discount),2140301.16,1126000.83,1157,52.60945754007814
Home Appliances,1-10%,3877968.93,1889491.7,2312,48.723745189985316
Home Appliances,11-20%,5427936.49,2402322.88,3309,44.25849278866562
Home Appliances,21-30%,2120079.32,767412.33,1141,36.19734048441169
Home Appliances,31-40%,1542193.33,410444.07,756,26.614307169905864
Home Appliances,41%+,763697.58,87054.13,461,11.399031799996015
Jewelry,0% (No Discount),2157951.35,1110851.06,1047,51.47711323519874
Jewelry,1-10%,3867889.34,1857621.35,2043,48.02674499472625
Jewelry,11-20%,5170929.72,2259423.7600000002,2867,43.69472962011173
Jewelry,21-30%,2172275.7,785484.03,1070,36.159499919830616
Jewelry,31-40%,1358060.8800000001,356644.6,625,26.261311643112784
Jewelry,41%+,780152.97,85849.56,455,11.004195754071153
Office Supplies,0% (No Discount),1437189.95,785608.6900000001,1214,54.66282936364814
Office Supplies,1-10%,2635173.96,1358557.14,2405,51.554742139300735
Office Supplies,11-20%,3596574.9,1719758.11,3418,47.81655207569847
Office Supplies,21-30%,1423246.43,583295.65,1236,40.983461311053496
Office Supplies,31-40%,956054.48,300228.42,733,31.402856874850897
Office Supplies,41%+,507204.97000000003,91671.73,498,18.073902154389376
Pet Supplies,0% (No Discount),1312586.83,710054.11,1113,54.095781991047396
Pet Supplies,1-10%,2336703.9,1195294.29,2218,51.153006163938876
Pet Supplies,11-20%,3008944.17,1404928.97,3030,46.69175932234063
Pet Supplies,21-30%,1141376.86,457200.97,1036,40.0569685633893
Pet Supplies,31-40%,889700.73,280073.38,733,31.47950434973792
Pet Supplies,41%+,468427.29,74078.52,508,15.814304926598108
Sports & Outdoors,0% (No Discount),2038735.71,1098072.3800000001,1382,53.86045746949713
Sports & Outdoors,1-10%,3400665.53,1716504.78,2658,50.47555441302103
Sports & Outdoors,11-20%,4705405.33,2155404.63,3757,45.80699172200751
Sports & Outdoors,21-30%,1815874.12,701408.74,1343,38.626506775700946
Sports & Outdoors,31-40%,1267399.85,383117.83,856,30.228647257611712
Sports & Outdoors,41%+,674363.81,95551.57,564,14.16914261754349
Toys & Games,0% (No Discount),1265960.82,683703.08,1185,54.00665401319449
Toys & Games,1-10%,2326952.46,1170592.6,2369,50.30582360930571
Toys & Games,11-20%,3211201.82,1485448.87,3292,46.25834666473875
Toys & Games,21-30%,1290967.42,504245.01,1195,39.059468286194246
Toys & Games,31-40%,929706.18,279426.23,751,30.055326726988085
Toys & Games,41%+,448444.14,73885.54,502,16.475974019863433
