product_category,product_subcategory,units_sold,gross_sales,net_sales,profit,orders,profit_margin_pct,revenue_rank,profit_rank,rank_gap
Beauty & Personal Care,Makeup,5150,458333.7,438809.73,237387.77,2412,54.09810990289573,107.0,106.0,1.0
Beauty & Personal Care,Men's Grooming,5741,388067.37,378820.69,203058.14,2704,53.6027058078586,109.0,108.0,1.0
Beauty & Personal Care,Oral Care,3669,177899.64,177273.56,82918.56999999999,1709,46.77435822916852,119.0,119.0,0.0
Beauty & Personal Care,Skincare,9429,735229.3099999999,709687.31,369322.92,4370,52.04023163384448,87.0,81.0,6.0
Books & Media,Academic,6997,333060.17,332767.21,176287.28,3296,52.97615711596103,112.0,111.0,1.0
Books & Media,Audiobooks,6522,295727.1,295434.21,160306.23,2993,54.26122790586777,115.0,115.0,0.0
Books & Media,Children's Books,10678,386812.46,398171.88,195664.06,4926,49.14060229466732,108.0,109.0,-1.0
Books & Media,Comics,5268,220799.19,223227.92,114266.16,2441,51.18811302815526,118.0,118.0,0.0
Books & Media,Fiction,10527,488989.81,492342.05,262946.17,4950,53.407213541886165,102.0,102.0,0.0
Books & Media,Movies,6707,330227.44,328054.34,163949.62,3101,49.97636062366984,113.0,113.0,0.0
Books & Media,Music,7122,309747.52,313325.32,160829.42,3336,51.329851031509364,114.0,114.0,0.0
Books & Media,Non-Fiction,8484,457574.12,457476.97,241247.34,3970,52.73431359834354,104.0,104.0,0.0
Electronics,Cameras,4876,4224383.22,3892840.04,1386692.91,2291,35.6216257475609,12.0,13.0,-1.0
Electronics,Gaming Consoles,4361,4290145.96,3978273.22,1421854.61,2016,35.74049672737158,10.0,11.0,-1.0
Electronics,Headphones,5934,3837657.26,3538416.48,1165119.22,2747,32.927701602836756,14.0,18.0,-4.0
Electronics,Laptops,4994,4275364.04,3943025.73,1358295.95,2358,34.44806204701079,11.0,14.0,-3.0
Electronics,Smart Watches,9038,6982259.42,6475739.97,2168784.55,4235,33.49091470700297,3.0,3.0,0.0
Electronics,Smartphones,10906,8339404.92,7651215.85,2747675.09,5066,35.91161383847248,1.0,1.0,0.0
Electronics,TVs,9190,7606812.95,7042912.61,2366818.26,4334,33.60567411612395,2.0,2.0,0.0
Electronics,Tablets,6485,4987981.36,4625739.0,1488742.15,3050,32.183876997815915,5.0,9.0,-4.0
Fashion,Accessories,4992,661688.81,630921.73,275893.76,2347,43.72868247856989,91.0,101.0,-10.0
Fashion,Bags,10752,1650482.95,1557728.27,896404.81,4998,57.54564690541311,45.0,31.0,14.0
Fashion,Jewelry,4189,462656.28,443620.23,233578.53,1948,52.65281297022907,105.0,107.0,-2.0
Fashion,Kids' Clothing,4441,806394.09,750389.27,289041.26,2029,38.51884236031253,83.0,94.0,-11.0
Fashion,Men's Clothing,5787,1008593.4199999999,941767.85,437804.6,2686,46.48752874713232,69.0,74.0,-5.0
Fashion,Shoes,6423,1060804.63,993652.06,484482.39,2979,48.7577502732697,64.0,66.0,-2.0
Fashion,Watches,5587,1006942.26,939223.87,473242.05,2651,50.38650156964175,71.0,69.0,2.0
Fashion,Women's Clothing,6603,1262226.39,1177286.23,579184.2,3036,49.19654925378682,56.0,54.0,2.0
Grocery,Beverages,9949,469750.19,468756.05,238884.79,4636,50.96143079113325,103.0,105.0,-2.0
Grocery,Dairy,3523,258600.73,250063.58,140117.94,1655,56.03292570633437,117.0,117.0,0.0
Grocery,Frozen Foods,10968,586050.33,582869.04,327279.63,5095,56.14977079585493,96.0,90.0,6.0
Grocery,Meat,8464,445777.22000000003,441474.16,246744.38,3983,55.89101296438279,106.0,103.0,3.0
Grocery,Organic,5075,342338.07,334331.58,184731.43,2333,55.253957762530234,111.0,110.0,1.0
Grocery,Pantry Staples,4220,138982.55,144598.14,70951.58,2050,49.06811387753673,120.0,120.0,0.0
Grocery,Produce,9843,513498.4,510248.91,280713.23,4617,55.014959267624896,101.0,100.0,1.0
Grocery,Snacks,3565,264457.92,258354.98,159511.92,1683,61.74137614842958,116.0,116.0,0.0
Health & Wellness,Blood Pressure Monitors,6436,832018.28,788974.2,392722.6,3019,49.77635517105629,79.0,78.0,1.0
Health & Wellness,First Aid,9985,1710534.56,1605846.98,757998.42,4630,47.20240654560997,42.0,45.0,-3.0
Health & Wellness,Fitness Trackers,9267,1547653.97,1453764.56,618171.5,4363,42.52211926255789,49.0,51.0,-2.0
Health & Wellness,Massagers,10175,1368660.68,1297263.21,631903.65,4693,48.710519586846225,52.0,49.0,3.0
Health & Wellness,Medical Devices,10282,1663085.06,1555702.26,740315.84,4727,47.58724461838861,46.0,47.0,-1.0
Health & Wellness,Supplements,5799,993899.23,930049.47,441857.27,2702,47.50900723592692,72.0,73.0,-1.0
Health & Wellness,Thermometers,4320,776236.83,724644.88,288957.4,2014,39.875725058596984,84.0,95.0,-11.0
Health & Wellness,Vitamins,5790,925002.34,871822.48,391377.73,2671,44.89190620549266,76.0,79.0,-3.0
Home & Kitchen,Bathroom Accessories,10008,2733010.44,2544428.96,1182079.06,4647,46.4575383546963,21.0,16.0,5.0
Home & Kitchen,Bedding,4862,924317.07,869146.84,430321.48,2264,49.51079152516967,77.0,75.0,2.0
Home & Kitchen,Cookware,4802,767291.05,718313.91,346272.79,2251,48.20633224268202,86.0,87.0,-1.0
Home & Kitchen,Decor,9864,2726362.34,2540943.66,1205605.19,4638,47.44714371195463,22.0,15.0,7.0
Home & Kitchen,Furniture,4861,1241772.68,1157300.63,548538.64,2291,47.39811124098326,57.0,57.0,0.0
Home & Kitchen,Kitchen Utensils,4478,835519.44,775727.55,361519.73,2064,46.60395650508996,80.0,82.0,-2.0
Home & Kitchen,Lighting,4454,815290.87,762562.57,347557.99,2060,45.57763568175134,82.0,85.0,-3.0
Home & Kitchen,Storage,6353,1718430.35,1603205.7,781929.37,3013,48.772866139385606,43.0,38.0,5.0
Home Appliances,Air Conditioners,9440,3898263.44,3586123.3,1403094.64,4368,39.125666426472286,13.0,12.0,1.0
Home Appliances,Blenders,8091,4696455.77,4342327.02,1838565.33,3694,42.340554304912764,8.0,6.0,2.0
Home Appliances,Coffee Makers,3522,1996785.34,1812294.8,721867.62,1668,39.83168853102707,37.0,48.0,-11.0
Home Appliances,Microwaves,9090,2951665.95,2749686.2,1115505.24,4211,40.56845613874048,17.0,20.0,-3.0
Home Appliances,Refrigerators,5081,2350083.38,2156307.96,877664.1900000001,2347,40.702172708206305,30.0,32.0,-2.0
Home Appliances,Toasters,9492,4815631.1,4449153.23,2064993.18,4426,46.4131728724479,6.0,5.0,1.0
Home Appliances,Vacuum Cleaners,5788,2516153.31,2310502.36,835078.42,2705,36.142720927582175,26.0,34.0,-8.0
Home Appliances,Washing Machines,5777,3718087.2399999998,3436083.77,1432109.83,2711,41.678548192089046,15.0,10.0,5.0
Jewelry,Bracelets,7764,4825817.5600000005,4445777.75,1573007.54,3675,35.38205525456148,7.0,8.0,-1.0
Jewelry,Chains,7592,2776352.06,2586631.73,1072672.01,3608,41.46983884714041,20.0,24.0,-4.0
Jewelry,Earrings,6950,4361590.8,4010102.56,1756869.96,3262,43.811097938602344,9.0,7.0,2.0
Jewelry,Gemstones,3661,1691401.66,1547962.19,628479.08,1744,40.60041544037972,47.0,50.0,-3.0
Jewelry,Necklaces,3564,2640191.72,2439105.33,1100321.59,1704,45.1116881450954,23.0,21.0,2.0
Jewelry,Pendants,5010,3236601.6,2977668.07,1120764.48,2323,37.638999836539874,16.0,19.0,-3.0
Jewelry,Rings,10839,5681150.92,5256142.3,2138460.48,5045,40.684980693920714,4.0,4.0,0.0
Jewelry,Watches,3479,2485774.28,2297943.85,1001060.18,1680,43.56330029560992,27.0,25.0,2.0
Office Supplies,Calendars,9312,1319115.19,1238094.48,602642.79,4345,48.67502438101493,53.0,53.0,0.0
Office Supplies,Mail & Shipping,4337,740408.6,701380.52,350305.4,2035,49.945128216563525,88.0,84.0,4.0
Office Supplies,Office Furniture,7790,934613.72,889015.57,471526.67,3669,53.0391914283346,75.0,71.0,4.0
Office Supplies,Paper Products,9184,1462904.13,1377714.8,760409.48,4345,55.1935335237743,51.0,43.0,8.0
Office Supplies,Presentation,5084,1048884.19,974805.38,503345.59,2402,51.635495692483765,65.0,64.0,1.0
Office Supplies,Storage,5314,1097127.94,1028467.97,520131.52,2447,50.573429136543744,61.0,61.0,0.0
Office Supplies,Technology,9470,1575785.51,1479863.78,772860.17,4373,52.225088582139634,48.0,39.0,9.0
Office Supplies,Writing Instruments,7140,1268994.6,1194870.35,604155.42,3330,50.56242461786754,55.0,52.0,3.0
Pet Supplies,Aquariums,5130,598655.94,566562.44,286860.57,2390,50.63176620038562,98.0,96.0,2.0
Pet Supplies,Bird Cages,6641,757089.28,718865.67,410137.32,3051,57.053401924173116,85.0,77.0,8.0
Pet Supplies,Collars & Leashes,6516,835447.29,792011.99,357597.6,3055,45.15052859237648,78.0,83.0,-5.0
Pet Supplies,Grooming,6667,1019439.85,958749.37,476403.35,3029,49.69008219530824,67.0,68.0,-1.0
Pet Supplies,Health Supplies,7684,990851.86,940099.9,481129.57,3601,51.178557725620436,70.0,67.0,3.0
Pet Supplies,Pet Beds,3516,589453.26,557277.29,283651.67,1685,50.89955666415188,100.0,99.0,1.0
Pet Supplies,Pet Food,9250,960239.56,913167.71,472922.64,4295,51.78924252588827,73.0,70.0,3.0
Pet Supplies,Pet Toys,7689,1038435.52,974495.34,494978.9,3612,50.793357308409504,66.0,65.0,1.0
Sports & Outdoors,Camping,6439,1906144.54,1782106.39,742060.3,3046,41.63950615765426,38.0,46.0,-8.0
Sports & Outdoors,Cycling,9929,2567488.19,2379316.84,1084619.15,4582,45.585318094920055,24.0,23.0,1.0
Sports & Outdoors,Fitness Equipment,4994,1716629.49,1593680.35,767412.83,2329,48.153497657168195,44.0,40.0,4.0
Sports & Outdoors,Outdoor Gear,6347,1748139.83,1629430.87,809871.18,2963,49.70270263751662,40.0,36.0,4.0
Sports & Outdoors,Running,10019,2412904.27,2240041.59,980752.16,4626,43.78276565838227,29.0,26.0,3.0
Sports & Outdoors,Swimming,8532,1733352.78,1622770.06,759401.96,4027,46.79664597706467,41.0,44.0,-3.0
Sports & Outdoors,Team Sports,7894,2271230.15,2124078.39,910696.11,3727,42.87488231543092,31.0,30.0,1.0
Sports & Outdoors,Yoga,10598,2517814.99,2355423.68,1175223.62,4906,49.894362104740324,25.0,17.0,8.0
Toys & Games,Action Figures,8686,1121697.3,1056190.3,573216.06,4043,54.27204358911458,60.0,56.0,4.0
Toys & Games,Arts & Crafts,4347,612449.29,577188.77,285110.19,2059,49.396350868018445,97.0,97.0,0.0
Toys & Games,Board Games,8724,659188.08,638713.3,346447.32,4073,54.241444479080045,89.0,86.0,3.0
Toys & Games,Dolls,3706,356840.19,338369.45,166767.19,1695,49.285533903843856,110.0,112.0,-2.0
Toys & Games,Educational Toys,11057,1049539.44,1004322.57,511948.01,5184,50.97446032702422,63.0,63.0,0.0
Toys & Games,Outdoor Toys,7614,645993.57,620420.34,284581.51,3663,45.869145747220344,93.0,98.0,-5.0
Toys & Games,Puzzles,5833,669703.03,635338.66,303303.36,2699,47.73884844344274,90.0,93.0,-3.0
Toys & Games,Remote Control,5821,629208.42,602132.6,329068.75,2684,54.65054541142599,95.0,89.0,6.0
