month,orders_count,customers,gross_sales,net_sales,discount_amount,profit,returns,cancellations,avg_rating,profit_margin_pct,avg_order_value,return_rate_pct
2023-07,2010,1925,3078026.17,2715818.33,670820.38,1090608.87,137,107,3.69748502994012,40.15765185589568,1351.1533980099503,6.8159203980099505
2023-08,2484,2366,3022753.12,3070356.42,298420.4,1457105.06,182,156,3.6823471400394476,47.45719586522792,1236.053309178744,7.326892109500806
2023-09,2190,2091,2844887.38,2747363.2,408167.28,1227763.98,153,141,3.697427293064877,44.68881216724457,1254.5037442922376,6.986301369863014
2023-10,2347,2227,2951270.59,3001350.13,292308.83,1422662.72,162,144,3.67489604989605,47.400758271411675,1278.802782275245,6.902428632296549
2023-11,3177,2979,5457890.23,4261793.39,1675335.74,1384767.31,212,206,3.705339435545385,32.49259603361486,1341.4521214982688,6.672961913755115
2023-12,3496,3280,5960069.59,4674725.88,1801611.78,1524271.4,252,194,3.685372616984402,32.6066477292568,1337.1641533180778,7.208237986270023
2024-01,1965,1883,2473952.5,2510721.37,244036.82,1188378.97,133,124,3.6714993804213134,47.33217250626261,1277.7207989821884,6.768447837150127
2024-02,1617,1565,2082233.66,2119755.19,202747.16,999239.96,97,114,3.660152091254753,47.1394038667267,1310.918484848485,5.998763141620285
2024-03,2202,2106,2706009.39,2752681.57,270583.98,1308568.52,153,162,3.6898550724637684,47.53795478058147,1250.0824568574023,6.948228882833788
2024-04,2123,2029,2595326.55,2635743.36,255599.18,1255604.59,150,131,3.6491309385863264,47.637589040535424,1241.518304286387,7.06547338671691
2024-05,2048,1973,2528303.89,2579097.07,246221.51,1231096.0,138,121,3.683709869203329,47.73360469135037,1259.3247412109374,6.73828125
2024-06,2176,2074,2584843.18,2639763.54,246960.3,1264694.75,140,126,3.665524861878453,47.90939532409785,1213.1266268382353,6.4338235294117645
2024-07,2029,1954,3229056.03,2833868.86,709855.39,1125099.51,151,133,3.6961031175059955,39.7018904396303,1396.6825332676194,7.442089699359291
2024-08,2394,2284,2809220.13,2860775.42,271636.87,1367059.3800000001,194,155,3.666944734098019,47.78632291240814,1194.977201336675,8.103592314118629
2024-09,2181,2106,2856583.82,2754826.02,409201.52,1241712.58,165,135,3.6675690919345745,45.07408348059672,1263.1022558459422,7.565337001375516
2024-10,2293,2190,2831360.99,2894022.77,271082.62,1379702.95,148,130,3.6653061224489796,47.674225797470136,1262.1119799389446,6.4544265154819005
2024-11,3297,3079,5521108.41,4352110.3,1656108.15,1442816.17,236,219,3.686649116209101,33.15210485359252,1320.021322414316,7.158022444646648
2024-12,3443,3229,5769555.63,4533086.81,1741307.86,1488991.71,247,212,3.690714285714286,32.84719160275689,1316.6095875689805,7.173976183560848
2025-01,1962,1887,2407803.0,2442719.6,238877.12,1159096.56,142,113,3.6775294847920548,47.45106888240468,1245.0150866462793,7.237512742099899
2025-02,1645,1589,1981356.71,2018064.34,191480.52,961820.38,125,93,3.675258493353028,47.660540892368175,1226.7868328267477,7.598784194528875
2025-03,2194,2124,2737525.43,2790317.39,260508.82,1317202.91,167,144,3.6698653198653197,47.20620366416452,1271.7946171376482,7.6116681859617135
2025-04,2006,1934,2479887.3,2536513.2600000002,237629.14,1210503.18,146,121,3.655205811138014,47.72311657460052,1264.4632402791626,7.2781655034895305
2025-05,1999,1931,2373702.68,2416435.27,228637.58000000002,1145999.55,142,123,3.637985436893204,47.42521201488671,1208.8220460230116,7.103551775887944
2025-06,2138,2044,2574224.45,2621595.83,249236.88,1250134.32,168,131,3.672932330827068,47.68600505440993,1226.1907530402245,7.857811038353601
2025-07,2121,2036,3226510.94,2844927.97,697016.38,1148925.44,144,128,3.7081750143926313,40.3850449682914,1341.314460160302,6.789250353606789
2025-08,2363,2245,2915602.24,2958759.35,287915.37,1399954.67,150,137,3.658511722731906,47.3155976676508,1252.1199111299197,6.347862886161659
2025-09,2226,2119,2940500.47,2840833.95,421765.71,1280677.1300000001,170,117,3.6851609383524275,45.08102735114103,1276.2057277628032,7.637017070979335
2025-10,2285,2175,2744499.47,2793772.97,269027.61,1326561.59,146,131,3.6555321390937827,47.4827985038455,1222.6577549234137,6.389496717724288
2025-11,3191,3021,5468300.17,4270161.0,1681142.96,1382248.56,232,169,3.6896197718631183,32.369940149797635,1338.188968975243,7.270448135380758
2025-12,3468,3240,5735497.38,4555033.5,1695430.79,1528979.87,240,219,3.70158618258724,33.566819431734146,1313.4467993079584,6.920415224913495
