brand,units_sold,net_sales,profit,avg_rating,orders,profit_margin_pct
Goodyear,5094,1820037.89,849044.05,3.4020172910662825,2419,46.64980079068574
Google,4242,3001186.85,1046902.55,3.6053431372549016,2025,34.88295138971437
Graco,5773,859422.92,518669.11,3.868075801749271,2721,60.350858457440246
Gucci,5719,819078.25,399409.08,3.687803979366249,2692,48.76323843295802
H&M,5682,847536.31,482735.27,3.2157105361829768,2643,56.957473597797836
HP,7071,4550295.21,1673770.51,3.916996402877698,3299,36.78377847489152
Hachette,7633,320149.18,162329.7,3.78503829321663,3626,50.7043934955573
HarperCollins,7943,325414.64,169339.8,3.5082485270487416,3689,52.03816275752068
Hasbro,8625,795989.01,367614.37,4.250950755728913,4059,46.18334743088978
Hill's,4090,562138.97,310473.82,3.4523736600306276,1944,55.23079462005632
Home Depot,5477,1416712.93,648692.71,3.4681977423121833,2554,45.78857835369654
Huggies,5749,944601.53,475157.38,3.701138450238707,2701,50.302414818235576
IKEA,6463,1152781.96,593661.71,3.5863120337333765,3061,51.49817837190999
Iams,4362,508204.83,244894.2,3.5143338143338143,2067,48.18808982984282
Johnson & Johnson,10269,1436502.79,752234.11,3.1823663963401954,4750,52.36565603885809
Kellogg's,3707,175955.64,96609.49,3.9435110081112397,1719,54.90559438731262
Kiehl's,10283,749354.38,385590.26,3.5787362294741216,4740,51.45632964739594
KitchenAid,2200,1263290.14,496026.59,3.977594568380213,1029,39.264660927378095
Kong,7154,752900.7,386259.65,3.1957935560859188,3322,51.3028676955673
Kraft Heinz,5161,346303.88,193680.49,3.223231083844581,2431,55.927900663428886
L'Oreal,2725,248351.67,133226.31,3.0359314107560404,1279,53.644217492074844
LG,11652,6165232.04,2166500.26,3.7563567017798767,5399,35.140611836566
Lego,8134,874000.16,463555.03,3.9032838983050846,3724,53.03832324241222
Lenovo,1406,825150.32,310767.74,3.4062874251497006,667,37.661954733290294
Levi's,2270,318993.52,130387.29,3.314232209737828,1065,40.87458892581893
Louis Vuitton,4756,862804.37,455579.91,3.699780893952673,2265,52.80222560764266
MAC,6480,559802.75,279340.89,3.3629954515919427,3055,49.899878126715166
Mango,2740,432496.78,187849.03,3.958564814814815,1292,43.43362510120885
Mars,4845,154732.27,74205.87,3.413659574468085,2336,47.957591522440666
Mattel,3576,490147.66,253030.22,3.2701631701631704,1708,51.62326389561872
Maybelline,7178,612079.03,326455.92,3.7607460035523976,3348,53.335583151737765
McGraw-Hill,9396,439662.73,239870.2,4.097207718501703,4343,54.557774319419806
Mead,5192,584383.44,289583.57,3.8083571137382797,2443,49.553692007425816
Melissa & Doug,5730,622621.21,345970.17,4.160635155096012,2692,55.56671768377438
Messika,3645,1894938.57,897021.32,3.887205966724039,1740,47.33775195678243
Michelin,5349,1276058.62,513769.07,3.826044891640867,2568,40.26218403665499
Microsoft,3514,2025387.59,716396.72,3.5077195050088394,1687,35.370845735259984
Miele,5105,2504521.59,1108628.72,3.728025210084034,2363,44.265089365829745
Mikimoto,6514,3408369.08,1335270.15,3.625700325732899,3045,39.176219436892666
Mobil,9462,2596783.35,1013854.33,3.7041797752808985,4386,39.04269988484022
Mondelez,6536,396685.94,209517.71,3.569511800840608,3058,52.81702447029002
NARS,5651,478865.94,248569.57,4.042487823154739,2645,51.9079661418392
Nerf,5837,527948.37,272897.61,4.141325606664251,2741,51.690207889078245
Nestle,4138,204716.74,114028.95,3.709935097353969,1994,55.70084302827409
Nike,9810,1606334.07,692787.78,3.7819248826291076,4606,43.128499416064805
Nylabone,3543,461632.42,224516.08,3.996392062537583,1649,48.63524966465743
Office Depot,5806,821929.94,399829.75,3.548265790434465,2720,48.645234896784515
Omron,6498,907506.42,409829.08,3.8921044150821786,3065,45.15990972273232
OnePlus,6540,5080134.21,1837015.9,3.760155490767736,3062,36.16077497291159
P&G,5711,298476.16,164123.63,3.6556005895357404,2696,54.98718222587694
Pampers,4103,596819.39,287507.34,3.672356884992264,1933,48.173257239514285
Panasonic,2882,1085221.17,450668.7,3.2878832116788326,1362,41.52782054555755
Pandora,7158,3798504.83,1565689.24,3.645614549721326,3375,41.218566516868165
PaperMate,6575,920654.69,525742.55,3.9312520012808196,3094,57.105292104686946
Patagonia,1440,233316.66,95447.97,4.453383458646616,664,40.90919611141356
Pearson,8141,333176.85,160925.18,3.595040671739701,3759,48.30022854228918
Penguin,5856,286160.8,146890.73,3.480734278444202,2727,51.331534577761886
PepsiCo,5796,305461.02,166487.04,3.5622336517266713,2696,54.50353043409598
PetSafe,5914,935521.72,497652.61,3.5032511611289747,2773,53.195195724584565
Petmate,7134,717651.91,331972.98,3.5761933534743204,3279,46.258217302034346
Pfizer,2930,353447.36,154326.41,4.0446026986506745,1332,43.663194994581374
Philips,7857,1226876.08,535369.74,3.6160065111231687,3642,43.63682271806945
Post-it,4933,826362.3,421032.41,4.091349934469201,2278,50.950099006210706
Pottery Barn,2093,521759.86,269119.52,3.7238636363636366,968,51.57919200606962
Puma,13647,2796554.11,1318965.34,4.1384531759589995,6309,47.16394849231078
Pure Vitamin,6485,979386.74,427535.91,3.8904145077720207,3054,43.653430513057586
Purina,4251,417841.2,217847.0,4.097165589259075,1997,52.13631398722768
Random House,4201,207741.71,114287.6,3.9613990941117265,1978,55.01427710400575
Ravensburger,2891,252939.86,146581.1,3.4755411255411257,1383,57.95096905643895
Reebok,6315,1345804.4,587362.67,3.464774624373957,2976,43.643984965422916
Revlon,4771,398834.72,216701.68,3.5064980375054513,2271,54.33370494925818
Royal Canin,7079,1028018.1,569975.06,3.7097956730769233,3298,55.44406854315115
Samsung,11402,6922013.66,2435719.85,3.6742072271386435,5317,35.18802431834554
Scholastic,7648,361105.09,178998.42,3.820516379789006,3553,49.569619746982795
Sharpie,4306,662021.38,345518.87,4.005160662122687,2037,52.19149719907838
Simon & Schuster,6464,304795.87,155301.07,4.200493096646943,3016,50.9524850189079
Sony,4347,3759520.53,1203746.73,4.240675477239354,2027,32.01862366209768
Spalding,5855,1750092.72,914138.32,3.3277838229960106,2732,52.23370793748573
Spin Master,2934,132769.11,62227.13,3.4932422717469445,1384,46.868680523654945
Staples,5893,1088069.41,533806.87,3.5982310469314083,2746,49.06000160412561
Swarovski,2128,1215041.95,489375.31,4.232791878172589,984,40.27641267859106
Target,7380,1575030.09,719270.01,3.681650317368725,3429,45.667064684459454
The North Face,12199,2307760.2,1067873.96,3.749458798882682,5600,46.273176909801975
Thule,4294,990848.25,365144.67,3.582664054848188,2028,36.85172477218383
Tiffany,4927,2758461.12,978205.57,3.4093750000000003,2321,35.462003176611745
Tommy Hilfiger,2112,467611.12,235503.6,3.5907022749752717,1009,50.363130799797915
Tous,5387,2574214.67,1160980.21,3.697462514417532,2579,45.10036492022633
Under Armour,4241,1042737.24,528197.22,3.7206582278481015,1961,50.65487255447019
Unilever,6891,425735.34,241077.75,3.7768524188609915,3229,56.62620115116588
VTech,5091,998343.53,515627.03,3.6464830508474573,2344,51.64825678792149
Valvoline,2053,924042.76,448888.22,3.614314516129032,988,48.57872810994158
Van Cleef,4303,1564109.72,663521.96,3.5197285506543867,2050,42.421701720516126
Walmart,6115,1337259.65,624554.02,3.410020590253947,2885,46.70402041966944
Wayfair,5669,1588541.99,688411.93,3.6197167349981365,2666,43.33608644490411
Whirlpool,8595,4072968.28,1697538.05,3.7114643304130164,3951,41.678155421333166
Williams-Sonoma,13737,2705187.74,1351887.52,3.778931933940423,6344,49.97388905806589
Wilson,4932,1453391.46,673857.69,3.9519281332164766,2264,46.36450044917699
Xiaomi,3557,3390447.43,1115019.04,3.8414862492685784,1700,32.88707650010665
Yakima,6510,1558584.04,580700.92,3.691602067183463,3065,37.25823600760085
Zara,5187,814459.0599999999,365059.58,3.5836501901140685,2354,44.82233643517945
